name,params,desc
pulls.listCommentsForRepo,!owner;!repo;sort;direction;since;per_page;page,"List comments in a repository"
pulls.listCommits,!owner;!repo;!pull_number;per_page;page,"List commits on a pull request"
pulls.listFiles,!owner;!repo;!pull_number;per_page;page,"List pull requests files"
pulls.listReviewRequests,!owner;!repo;!pull_number;per_page;page,"List review requests"
pulls.listReviews,!owner;!repo;!pull_number;per_page;page,"List reviews on a pull request"
pulls.merge,!owner;!repo;!pull_number;commit_title;commit_message;sha;merge_method,"Merge a pull request (Merge Button)"
pulls.submitReview,!owner;!repo;!pull_number;!review_id;body;!event,"Submit a pull request review"
pulls.update,!owner;!repo;!pull_number;title;body;state;base;maintainer_can_modify,"Update a pull request"
pulls.updateBranch,!owner;!repo;!pull_number;expected_head_sha,"Update a pull request branch"
pulls.updateComment,!owner;!repo;!comment_id;!body,"Edit a comment"
pulls.updateReview,!owner;!repo;!pull_number;!review_id;!body,"Update a pull request review"
rateLimit.get,,"Get your current rate limit status"
reactions.createForCommitComment,!owner;!repo;!comment_id;!content,"Create reaction for a commit comment"
reactions.createForIssue,!owner;!repo;!issue_number;!content,"Create reaction for an issue"
reactions.createForIssueComment,!owner;!repo;!comment_id;!content,"Create reaction for an issue comment"
reactions.createForPullRequestReviewComment,!owner;!repo;!comment_id;!content,"Create reaction for a pull request review comment"
reactions.createForTeamDiscussionCommentInOrg,!org;!team_slug;!discussion_number;!comment_number;!content,"Create reaction for a team discussion comment"
reactions.createForTeamDiscussionInOrg,!org;!team_slug;!discussion_number;!content,"Create reaction for a team discussion"
reactions.delete,!reaction_id,"Delete a reaction"
reactions.listForCommitComment,!owner;!repo;!comment_id;content;per_page;page,"List reactions for a commit comment"
reactions.listForIssue,!owner;!repo;!issue_number;content;per_page;page,"List reactions for an issue"
reactions.listForIssueComment,!owner;!repo;!comment_id;content;per_page;page,"List reactions for an issue comment"
reactions.listForPullRequestReviewComment,!owner;!repo;!comment_id;content;per_page;page,"List reactions for a pull request review comment"
reactions.listForTeamDiscussionCommentInOrg,!org;!team_slug;!discussion_number;!comment_number;content;per_page;page,"List reactions for a team discussion comment"
reactions.listForTeamDiscussionInOrg,!org;!team_slug;!discussion_number;content;per_page;page,"List reactions for a team discussion"
repos.acceptInvitation,!invitation_id,"Accept a repository invitation"
repos.addCollaborator,!owner;!repo;!username;permission,"Add user as a collaborator"
repos.addDeployKey,!owner;!repo;title;!key;read_only,"Add a new deploy key"
repos.addProtectedBranchAdminEnforcement,!owner;!repo;!branch,"Add admin enforcement of protected branch"
repos.addProtectedBranchAppRestrictions,!owner;!repo;!branch;!apps,"Add app restrictions of protected branch"
repos.addProtectedBranchRequiredSignatures,!owner;!repo;!branch,"Add required signatures of protected branch"
repos.addProtectedBranchRequiredStatusChecksContexts,!owner;!repo;!branch;!contexts,"Add required status checks contexts of protected branch"
repos.addProtectedBranchTeamRestrictions,!owner;!repo;!branch;!teams,"Add team restrictions of protected branch"
repos.addProtectedBranchUserRestrictions,!owner;!repo;!branch;!users,"Add user restrictions of protected branch"
repos.checkCollaborator,!owner;!repo;!username,"Check if a user is a collaborator"
repos.checkVulnerabilityAlerts,!owner;!repo,"Check if vulnerability alerts are enabled for a repository"
repos.compareCommits,!owner;!repo;!base;!head,"Compare two commits"
repos.createCommitComment,!owner;!repo;!commit_sha;!body;path;position;line,"Create a commit comment"
repos.createDeployment,!owner;!repo;!ref;task;auto_merge;required_contexts;payload;environment;description;transient_environment;production_environment,"Create a deployment"
repos.createDeploymentStatus,!owner;!repo;!deployment_id;!state;target_url;log_url;description;environment;environment_url;auto_inactive,"Create a deployment status"
repos.createDispatchEvent,!owner;!repo;event_type;client_payload,"Create a repository dispatch event"
repos.createForAuthenticatedUser,!name;description;homepage;private;visibility;has_issues;has_projects;has_wiki;is_template;team_id;auto_init;gitignore_template;license_template;allow_squash_merge;allow_merge_commit;allow_rebase_merge;delete_branch_on_merge,"Creates a new repository for the authenticated user"
repos.createFork,!owner;!repo;organization,"Create a fork"
repos.createHook,!owner;!repo;name;!config;!config.url;config.content_type;config.secret;config.insecure_ssl;events;active,"Create a hook"
repos.createInOrg,!org;!name;description;homepage;private;visibility;has_issues;has_projects;has_wiki;is_template;team_id;auto_init;gitignore_template;license_template;allow_squash_merge;allow_merge_commit;allow_rebase_merge;delete_branch_on_merge,"Creates a new repository in the specified organization"
repos.createOrUpdateFile,!owner;!repo;!path;!message;!content;sha;branch;committer;!committer.name;!committer.email;author;!author.name;!author.email,"Create or update a file"
repos.createRelease,!owner;!repo;!tag_name;target_commitish;name;body;draft;prerelease,"Create a release"
repos.createStatus,!owner;!repo;!sha;!state;target_url;description;context,"Create a status"
repos.createUsingTemplate,!template_owner;!template_repo;owner;!name;description;private,"Create repository using a repository template"
repos.declineInvitation,!invitation_id,"Decline a repository invitation"
repos.delete,!owner;!repo,"Delete a repository"
repos.deleteCommitComment,!owner;!repo;!comment_id,"Delete a commit comment"
repos.deleteDeployment,!owner;!repo;!deployment_id,"Delete a deployment"
repos.deleteDownload,!owner;!repo;!download_id,"Delete a download"
repos.deleteFile,!owner;!repo;!path;!message;!sha;branch;committer;committer.name;committer.email;author;author.name;author.email,"Delete a file"
repos.deleteHook,!owner;!repo;!hook_id,"Delete a hook"
repos.deleteInvitation,!owner;!repo;!invitation_id,"Delete a repository invitation"
repos.deleteRelease,!owner;!repo;!release_id,"Delete a release"
repos.deleteReleaseAsset,!owner;!repo;!asset_id,"Delete a release asset"
repos.disableAutomatedSecurityFixes,!owner;!repo,"Disable automated security fixes"
repos.disablePagesSite,!owner;!repo,"Disable a Pages site"
repos.disableVulnerabilityAlerts,!owner;!repo,"Disable vulnerability alerts"
repos.enableAutomatedSecurityFixes,!owner;!repo,"Enable automated security fixes"
repos.enablePagesSite,!owner;!repo;source;source.branch;source.path,"Enable a Pages site"
repos.enableVulnerabilityAlerts,!owner;!repo,"Enable vulnerability alerts"
repos.get,!owner;!repo,"Get"
repos.getAppsWithAccessToProtectedBranch,!owner;!repo;!branch,"Get apps with access to protected branch"
repos.getArchiveLink,!owner;!repo;!archive_format;!ref,"Get archive link"
repos.getBranch,!owner;!repo;!branch,"Get branch"
repos.getBranchProtection,!owner;!repo;!branch,"Get branch protection"
repos.getClones,!owner;!repo;per,"Clones"
repos.getCodeFrequencyStats,!owner;!repo,"Get the number of additions and deletions per week"
repos.getCollaboratorPermissionLevel,!owner;!repo;!username,"Review a user's permission level"
repos.getCombinedStatusForRef,!owner;!repo;!ref,"Get the combined status for a specific ref"
repos.getCommit,!owner;!repo;!ref,"Get a single commit"
repos.getCommitActivityStats,!owner;!repo,"Get the last year of commit activity data"
repos.getCommitComment,!owner;!repo;!comment_id,"Get a single commit comment"
repos.getContents,!owner;!repo;!path;ref,"Get contents"
repos.getContributorsStats,!owner;!repo,"Get contributors list with additions, deletions, and commit counts"
repos.getDeployKey,!owner;!repo;!key_id,"Get a deploy key"
